Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
7	174762	age-1	AGEing alteration AGE-1, abnormal DAuer Formation DAF-23	Caenorhabditis elegans	Cel.18292	B0334.8			increase	Knockout mutants have a 40-65% increase in mean lifespan and a 65-110% increase in maximum lifespan.	anti	110	65	Knockout	
7	174762	age-1	AGEing alteration AGE-1, abnormal DAuer Formation DAF-23	Caenorhabditis elegans	Cel.18292	B0334.8			increase	C. elegans strains bearing homozygous nonsense mutations in the age-1 gene, which encodes the class-I phosphatidylinositol 3-kinase catalytic subunit (PI3KCS), produce progeny that were thought to undergo obligatory developmental arrest. After prolonged developmental times at 15 - 20 C, they mature into extremely long-lived adults with near-normal feeding rates and motility. They survive to a median of 145-190 days at 20 C, with nearly 10-fold extension of both median and maximum adult lifespan relative to N2DRM, a long-lived wild-type stock into which the null mutant was outcrossed. PI3K-null adults, although a little less thermotolerant, are considerably more resistant to oxidative and electrophilic stresses than worms bearing normal or less long-lived alleles. Their unprecedented factorial gains in survival, under both normal and toxic environments, are attributed to elimination of residual and maternally-contributed PI3KCS or its products, and consequent modification of kinase signaling cascades. 	anti	1000	1000	Mutation	
7	174762	age-1	AGEing alteration AGE-1, abnormal DAuer Formation DAF-23	Caenorhabditis elegans	Cel.18292	B0334.8			increase	170% mean lifespan extension	anti		170	RNA interference	
7	174762	age-1	AGEing alteration AGE-1, abnormal DAuer Formation DAF-23	Caenorhabditis elegans	Cel.18292	B0334.8			increase	65 % increase in mean lifespan and a 110 % increase in maximum lifespan at 25 degrees. age-1 mutant hermaphrodites show a 50% slower rate of mortality acceleration than wild-type. 	anti	110	65	Mutation	
7	174762	age-1	AGEing alteration AGE-1, abnormal DAuer Formation DAF-23	Caenorhabditis elegans	Cel.18292	B0334.8			increase	Mutants presented a double adult lifespan.	anti		100	Mutation	
43	176695	agmo-1	Protein AGMO-1	Caenorhabditis elegans	Cel.19986	BE10.2			decrease	RNA interference decreased median lifespan by 30% in wild type animals and 60% in daf-2 mutants.	pro		30	RNA interference	
1826	172889	aha-1	Protein AHA-1	Caenorhabditis elegans					decrease	Several of the RNAi candidates (dve-1; lin-40; nhr-49; ceh-20; lin-11; and nhr-77) appeared to non-discriminately shorten lifespan in all strains tested, suggesting that the corresponding transcription factors are broadly required for survival. Interestingly, four RNAi clones (ZC123.3; nhr-119; ceh-37; and aha-1) affected wild-type and isp-1;ctb-1 mutant worms' lifespan to the same extent but exerted only a moderate or no effect on daf-16 and age-1 mutant longevity.	pro		10	RNA interference	
9	181719	ain-1	ALG-1 INteracting protein	Caenorhabditis elegans	Cel.6838	C06G1.4			decrease	RNA interference decreased median lifespan by 10% in wild type animals, 20% in a daf-2 background and 44% in daf-2/daf-16 double mutants.	pro		10	RNA interference	
887	179898	aip-1	Arsenite Inducible Protein	Caenorhabditis elegans		F58E10.4			decrease	RNAi led to 30% decrease in mean lifespan	pro		50	RNA interference	
10	179424	akt-1	AKT kinase family	Caenorhabditis elegans	Cel.5036	C12D8.10			increase	RNA interference leads to lifespan extension.	anti			RNA interference	
10	179424	akt-1	AKT kinase family	Caenorhabditis elegans	Cel.5036	C12D8.10			increase	Knockdown of akt-1 increased lifespan.	anti			RNA interference	
11	173468	alg-2	Argonaute (plant)-Like Gene	Caenorhabditis elegans	Cel.22639	T07D3.7			decrease	RNA interference decreased median lifespan by 24% in wild type animals and 50% in a daf-2 background.	pro		24	RNA interference	
1977	173510	alh-6	ALdehyde deHydrogenase	Caenorhabditis elegans	7988				decrease	RNA interference or mutations in ALH-6 results in a shortened lifespan by up to 40%. This effect is however diet-specific and can be observed when animals are raised on the standard laboratory E. coli OP50 diet or when fed BL21, but not when fed HT115 or HMS174 (with an intermediate effect on a HB101 diet). The observed progeroid phenotype does not seem to be due to general sickness or developmental defects, and other signs of premature ageing are observed (reproductive decline, smaller total brood, lipofuscin accumulation, pharyngeal muscle degeneration, decrease in pharyngeal pumping and movement).	pro		40	Mutation	
1977	173510	alh-6	ALdehyde deHydrogenase	Caenorhabditis elegans	7988				increase	Transgenic overexpression of ALH-6 extends lifespan in worms fed a standard E. coli OP50 diet, but not when fed HT115. A diet-dependent effect can also be seen when ALH-6 is inpaired through mutations, suggesting that ALH-6 offers an adaptive response promoting survival on particular diets. 	pro	20	20	Overexpression	
12	186047	amt-2	AMmonium Transporter homolog	Caenorhabditis elegans	Cel.2458	F49E11.3			increase	RNA interference increased mean lifespan by 20%.	anti		20	RNA interference	
666	176773	ant-1.1	Adenine Nucleotide Translocator	Caenorhabditis elegans	Cel.17955	T27E9.1			increase	RNA interference increased mean lifespan by 40%.	anti		40	RNA interference	
2093	180783	apl-1	Beta-amyloid-like protein	Caenorhabditis elegans					increase	Apl-1 expression was induced in adult worms via heat shock. A single induction in day one adults mildly increased lifespan (5%) whereas regular apl-1 expression robustly increased lifespan (12-30%). Tissue specific expression had differing effects, neuron specific expression resulted in a decrease in lifespan whereas hypodermis specific expression resulted in lifespan extension. 	pro		30	Overexpression	
1770	178989	aps-1	Protein APS-1	Caenorhabditis elegans					increase	Post-developmental RNAi of aps-1 extends lifespan of wild type worms.	anti	0	7.9	Post-developmental RNA interference	
888	171691	aps-3	daPtin, Small chain (clathrin associated complex)	Caenorhabditis elegans		Y48G8AL.14			increase	Extended mean life span (20-40% in different backgrounds) .	anti		40	RNA interference post development	
889	181019	apy-1	APYrase	Caenorhabditis elegans		F08C6.6			decrease	Some of the apy-1 (RNAi) phenotypes are suggestive of premature aging, since these animals also showed accumulation of lipofuscin and reduced  maximal lifespan (by 30%)	pro	30		RNA interference post development	
890	191609	arf-1.1	ADP-Ribosylation Factor related	Caenorhabditis elegans		F45E4.1			increase	10% mean lifespan extension	anti		10	RNA interference post development	
2107	180080	argk-1	ARGinine Kinase	Caenorhabditis elegans					increase	Worms overexpressing argk-1 lived up to 25% longer at  25 and 20 degrees Celsius when compared tp the wild type. Argk-1 was found to be required for the reduced body size and increased stress resistance observed in rsks-1/S6K mutants.	pro		25	Overexpression	
14	178405	arl-8	ARF-Like	Caenorhabditis elegans	Cel.6950	Y57G11C.13			decrease	RNA interference decreased median lifespan by 35% in a daf-2 background and 9% in daf-2/daf-16 double mutants.	pro			RNA interference	
891	180446	arr-1	ARRestin family 	Caenorhabditis elegans		F53H8.2			increase	Mean lifespan was increased by 35% and maximal lifespan by 27%.	anti	27	35	Mutations	
16	175247	arx-4	ARp2/3 compleX component	Caenorhabditis elegans	Cel.6078	Y6D11A.2			decrease	RNA interference decreased median lifespan by 61% in a daf-2 background and 51% in daf-2/daf-16 double mutants.	pro			RNA interference	
1774	175605	asb-1	Protein ASB-1	Caenorhabditis elegans					increase	Post-developmental RNAi of asb-1 extends lifespan of wild type worms.	anti	0	6.4	Post-developmental RNA interference	
17	180718	asb-2	ATP Synthase B homolog	Caenorhabditis elegans	Cel.17624	F02E8.1			increase	RNA interference leads to lifespan extension.	anti			RNA interference	
18	172673	asg-1	ATP Synthase G homolog	Caenorhabditis elegans	Cel.20532	K07A12.3			increase	RNA interference leads to lifespan extension.	anti			RNA interference	
19	180956	asg-2	ATP synthase subunit	Caenorhabditis elegans	Cel.11144	C53B7.4			increase	Knockout mutations result in developmental arrest and increased lifespan.	anti			Knockout	
892	174838	ash-2	ASH histone methyltransferase complex subunit (Drosophila absent, small or homeotic discs) 	Caenorhabditis elegans		Y17G7B.2			increase	30% mean lifespan extension	anti		30	RNA interference	
892	174838	ash-2	ASH histone methyltransferase complex subunit (Drosophila absent, small or homeotic discs) 	Caenorhabditis elegans		Y17G7B.2			increase	Ash-2 deficiency in the parental generation extend the lifespan of descendants up until thethird generation.	anti		27	Mutation	
20	176879	asm-3	Acid SphingoMyelinase	Caenorhabditis elegans	Cel.20210	W03G1.7			increase	RNA interference increased mean lifespan by 50%.	anti		50	RNA interference	
2012	174590	atad-3	ATPase family AAA domain-containing protein 3	Caenorhabditis elegans	.7679				increase	RNA interference of mics-1 results in mutants with enhanced longevity when compated to HT115 wild-type controls (mean lifespan is 29% higher). Mutants are however highly sensitive to stress, displaying significantly higher levels of reactive oxygen species. 	anti		29	RNA interference	
1879	181405	atf-6	ATF (cAMP-dependent transcription factor) family	Caenorhabditis elegans	.5338				increase	RNA interference of ATF-6 results in enhanced longevity (by ~18%).	anti		18	RNA interference	
1938	179922	atfs-1	Activating Transcription Factor associated with Stress	Caenorhabditis elegans	.17407				decrease	Constitutive atfs-1 mutations shorten lifespan by up to 26%.	anti		26	Overexpression	
893	179246	atg-18	AuTophaGy (yeast Atg homolog)	Caenorhabditis elegans		F41E6.13			decrease	20% reduction in mean LS	pro		20	RNA interference	
893	179246	atg-18	AuTophaGy (yeast Atg homolog)	Caenorhabditis elegans		F41E6.13			decrease	47% maximal lifespan reduction by postdevelopmental RNAi while RNAi fron the beginning of life had no effect.	anti	47		RNA interference	
894	176921	atg-3	AuTophaGy (yeast Atg homolog)	Caenorhabditis elegans		Y55F3AM.4			decrease	19% maximal lifespan reduction in wild type worms. 15% lifespan extension in the daf-2 mutant.	pro	19		RNA interference	
895	190777	atg-4.1	AuTophaGy (yeast Atg homolog)	Caenorhabditis elegans		Y87G2A.3			decrease	20% maximal lifespan reduction in wild type worms. 10% lifespan extension in the daf-2 mutant.	pro	20		RNA interference	
896	3565022	atg-4.2	AuTophaGy (yeast Atg homolog)	Caenorhabditis elegans		ZK792.8			decrease	7% (wild type) maximal lifespan reduction. 10%(daf-2 mutant) lifespan extension.	pro	7		RNA interference	
897	171735	atg-5	AuTophaGy (yeast Atg homolog)	Caenorhabditis elegans		Y71G12B.12			decrease	19%(wild type) maximal lifespan reduction. 26%(daf-2 mutant) lifespan extension.	pro	19		RNA interference	
23	178005	atg-7	AuTophaGy (yeast Atg homolog)	Caenorhabditis elegans		M7.5	Q21591_CAEEL			RNA interference shortened mean lifespan by 23% and maximum lifespan by 30% in a eat-2 mutant background but not in wild type animals.	pro			RNA interference	
23	178005	atg-7	AuTophaGy (yeast Atg homolog)	Caenorhabditis elegans		M7.5	Q21591_CAEEL		increase	Post developmental RNAi resulted in a 10-15% maxumal lifespan extension compared to wild type. No lifespan extension by RNAi from the beginning of life.	anti	15		RNA interference	
898	178561	atg-9	AuTophaGy (yeast Atg homolog)	Caenorhabditis elegans		T22H9.2			decrease	35% mean lifespan reduction	pro		35	RNA interference	
898	178561	atg-9	AuTophaGy (yeast Atg homolog)	Caenorhabditis elegans		T22H9.2			increase	21% (daf-2 mutant) lifespan extension. For postdevelopmental RNAi (wt) maximum lifespan was extended by 10-15% .	pro	15		RNA interference	
25	175716	atp-2	ATP synthase F1 subunit gamma	Caenorhabditis elegans	Cel.37995	C34E10.6			increase	RNA interference results in extended lifespan.	anti			RNA interference	
25	175716	atp-2	ATP synthase F1 subunit gamma	Caenorhabditis elegans	Cel.37995	C34E10.6			increase	Post developmental RNAi resulted in a 43% increase in mean lifespan.	anti		43	RNA interference	
25	175716	atp-2	ATP synthase F1 subunit gamma	Caenorhabditis elegans	Cel.37995	C34E10.6			increase	atp-2 mutation significantly lengthen (by 20%) the lifespan of the arrested animals.	anti		20	Mutation	
25	175716	atp-2	ATP synthase F1 subunit gamma	Caenorhabditis elegans	Cel.37995	C34E10.6			increase	RNA interference of atp-2 results in an increased lifespan.	anti		14.8	RNA interference	
26	172195	atp-3	ATP synthase subunit	Caenorhabditis elegans	Cel.9091	F27C1.7			increase	RNA interference results in lifespan extension.	anti			RNA interference	
26	172195	atp-3	ATP synthase subunit	Caenorhabditis elegans	Cel.9091	F27C1.7			increase	Post developmental RNAi resulted in a increase in mean lifespan.	anti			RNA interference	
26	172195	atp-3	ATP synthase subunit	Caenorhabditis elegans	Cel.9091	F27C1.7			increase	Post developmental RNAi resulted in a 21% increase in mean lifespan.	anti		21	RNA interference	
27	179025	atp-4	ATP synthase subunit	Caenorhabditis elegans	Cel.7035	T05H4.12			increase	RNA interference results in lifespan extension.	anti			RNA interference	
28	179541	atp-5	ATP synthase subunit	Caenorhabditis elegans	Cel.6524	C06H2.1			increase	RNA interference results extended lifespan.	anti			RNA interference	
1758	180049	atx-3	Protein ATX-3	Caenorhabditis elegans					increase	In contrast to single deletions, worms deficient for both cdc-48.1 (p97) and atx-3 have an extended lifespan, modulated through the insulin/IGF-1 signalling pathway.	anti		50	Mutation	
899	179432	B0024.4	hypothetical protein	Caenorhabditis elegans		B0024.4			increase	15% mean lifespan extension	anti		15	RNA interference post development	
2045	180344	B0250.5	Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial	Caenorhabditis elegans	9442				increase	RNA interference of B0250.5 results in an increased lifespan.	anti		10.2	RNA interference	
1845	176217	B0303.2	Protein B0303.2	Caenorhabditis elegans					increase	Mutatation led to increased longevity as compared to the wild type controls.	anti	7	5	Mutation	
35	174734	B0491.5	Protein B0491.5	Caenorhabditis elegans	Cel.6372	B0491.5			increase	RNA interference in adulthood resulted in a 16% increase in mean lifespan.	anti		16	RNA interference	
35	174734	B0491.5	Protein B0491.5	Caenorhabditis elegans	Cel.6372	B0491.5			increase	Post developmental RNAi resulted in a extended mean life span (30-60% in different backgrounds).	anti		60	RNA interference	
36	172954	B0511.6	Protein B0511.6	Caenorhabditis elegans	Cel.18351	B0511.6			increase	RNA interference in adulthood extended mean lifespan by 50%.	anti		50	RNA interference	
37	182030	B0546.3	Protein B0546.3	Caenorhabditis elegans	Cel.25636	B0546.3			increase	RNA interference increased mean lifespan by 27%.	anti		27	RNA interference	
38	176330	baf-1	Barrier to Autointegration Factor	Caenorhabditis elegans	Cel.19409	B0464.7			decrease	RNA interference decreased median lifespan by 28% in daf-2 mutants.	pro		28	RNA interference	
39	180982	bar-1	beta-catenin	Caenorhabditis elegans	Cel.5480	C54D1.6			decrease	May play a role in regulating daf-16 during dauer formation, particularly in conditions of oxidative stress. Deletion of bar-1 reduces mean (45%) and maximal (35%) lifespan.	pro	35	45	Deletion	
2112	181423	bcat-1	Branched-chain-amino-acid aminotransferase, cytosolic	Caenorhabditis elegans					increase	Downregulation of bcat-1 in worms increased mean lifespan by 25% and maximum lifespan by 19%. In addition to extending lifespan bcat-1 downregulation also increased health span. 	anti	19	25	RNA interference	
44	177345	bec-1	BEClin (human autophagy) homolog	Caenorhabditis elegans	Cel.12317	T19E7.3			decrease	Required for normal dauer morphogenesis and lifespan extension. RNA interference results in a shortened lifespan.	pro			RNA interference	
44	177345	bec-1	BEClin (human autophagy) homolog	Caenorhabditis elegans	Cel.12317	T19E7.3			decrease	Shortened mean lifespan in eat-2 mutant background (24%) but not in wild-type.	pro			RNA interference	
44	177345	bec-1	BEClin (human autophagy) homolog	Caenorhabditis elegans	Cel.12317	T19E7.3			decrease	16% lifespan reduction (compared to wild type) and 25% lifespan reduction (in a daf-2 mutant) for RNAi from beginning of life. For post developmental RNAi maximum lifespan was extended by 10-15% both in wild-type and daf2 mutants.	pro		16	RNA interference	
44	177345	bec-1	BEClin (human autophagy) homolog	Caenorhabditis elegans	Cel.12317	T19E7.3			decrease	RNAi resulted in a 10-40% reduction in mean lifespan.	pro		40	RNA interference	
664	172054	bet-1	BET-1	Caenorhabditis elegans	Cel.17209	Y119C1B.8			decrease	RNA interference decreased median lifespan by 20% in daf-2 mutants.	pro			RNA interference	
45	172917	blmp-1	Blimp1 (B Lymphocyte-induced Maturation Protein-1) homolog	Caenorhabditis elegans	Cel.18891	F25D7.3			decrease	RNA interference decreased median lifespan by 17% in a daf-2 background and 20% in daf-2/daf-16 double mutants.	pro			RNA interference	
45	172917	blmp-1	Blimp1 (B Lymphocyte-induced Maturation Protein-1) homolog	Caenorhabditis elegans	Cel.18891	F25D7.3			decrease	RNAi resulted in a 20% mean lifespan decrease.	pro		20	RNA interference	
2100	179948	bmk-1	Kinesin-like protein	Caenorhabditis elegans					increase	Overexpression of bmk-1 in worms resulted in a 25% increase in lifespan and enhanced heat shock resistance. Downregulation of bmk-1 using RNAi resulted in a 32% decrease in lifespan. Hsp-16 was upregulated in response to bmk-1 overexpression, suggesting bmk-1 may protect cells from stress and inhibit apoptosis. 	pro		25	Overexpression	
47	181481	bra-1	BMP receptor Associated protein family	Caenorhabditis elegans	Cel.6488	F54B11.6			decrease	Mutation in adults reduces mean lifespan by 25%.	pro		25	Mutation	
900	175018	bub-3	 yeast BUB homolog	Caenorhabditis elegans		Y54G9A.6			increase	6% mean lifespan extension	anti		6	RNA interference	
649	188726	bus-4	Protein BUS-4	Caenorhabditis elegans	Cel.12305	T22B11.2			decrease	RNA interference decreased median lifespan by 10% in wild type animals and 26% in daf-2 mutants.	pro		10	RNA interference	
660	180821	bus-8	Bacterially Un-Swollen (M. nematophilum resistant)	Caenorhabditis elegans	Cel.5279	T23F2.1			decrease	RNA interference decreased median lifespan by 58% in wild type animals, 81% in a daf-2 background and 45% in daf-2/daf-16 double mutants.	pro		58	RNA interference	
53	173764	C01F1.1	Protein C01F1.1	Caenorhabditis elegans	Cel.6705	C01F1.1			decrease	RNA interference decreased median lifespan by 28% in wild type animals, 37% in a daf-2 background and 14% in daf-2/daf-16 double mutants.	pro		28	RNA interference	
902	173427	C03H5.3	hypothetical protein	Caenorhabditis elegans		C03H5.3			increase	RNAi led to 20% increase in mean lifespan	anti		20	RNA interference post development	
56	182280	C06A5.1	Protein C06A5.1	Caenorhabditis elegans	Cel.19260	C06A5.1			decrease	RNA interference decreased median lifespan by 39% in wild type animals, 24% in a daf-2 background and 71% in daf-2/daf-16 double mutants.	pro		39	RNA interference	
57	176368	C07A9.2	Protein C07A9.2	Caenorhabditis elegans	Cel.19422	C07A9.2			decrease	RNA interference decreased median lifespan by 26% in wild type animals, 37% in a daf-2 background and 15% in daf-2/daf-16 double mutants.	pro		26	RNA interference	
59	182438	C09B7.2	transposase	Caenorhabditis elegans	Cel.36821	C09B7.2			increase	RNA interference extends lifespan.	anti			RNA interference	
60	181537	C11H1.3	Protein C11H1.3	Caenorhabditis elegans	Cel.11395	C11H1.3			decrease	RNA interference decreased median lifespan by 10% in wild type animals, 14% in a daf-2 background and 41% in daf-2/daf-16 double mutants.	pro		10	RNA interference	
61	174637	C14A4.9	Protein C14A4.9	Caenorhabditis elegans	Cel.18286	C14A4.9			decrease	RNA interference decreased median lifespan by 14% in wild type animals and 41% in daf-2 mutants.	pro		14	RNA interference	
62	174427	C18E9.10	Protein C18E9.10	Caenorhabditis elegans	Cel.8813	C18E9.10			increase	RNA interference results in lifespan extension.	anti			RNA interference	
63	174428	C18E9.4	Protein C18E9.4	Caenorhabditis elegans	Cel.15813	C18E9.4			increase	RNA interference results in lifespan extension.	anti			RNA interference	
63	174428	C18E9.4	Protein C18E9.4	Caenorhabditis elegans	Cel.15813	C18E9.4			increase	RNAi resulted in a 60% mean lifespan extension.	anti		60	RNA interference	
65	182926	C26B2.2	Protein C26B2.2	Caenorhabditis elegans	Cel.13473	C26B2.2			increase	Knockout mutations extend lifespan.	anti			Knockout	
66	180804	C26B9.3	Protein C26B9.3	Caenorhabditis elegans	Cel.11298	C26B9.3			decrease	RNA interference decreased median lifespan by 12% in wild type animals, 68% in a daf-2 background and 17% in daf-2/daf-16 double mutants.	pro		12	RNA interference	
67	177708	C27B7.7	Protein C27B7.7	Caenorhabditis elegans	Cel.13463	C27B7.7			increase	RNA interference extends lifespan.	anti			RNA interference	
1842	175836	C28H8.11	Protein C28H8.11	Caenorhabditis elegans					increase	Knockdown of tdo-2 in both WT animals and animals expressing a-synuclein resulted in an extension of both the median and mean lifespan of ~15%.	anti		15	RNA interference	
69	175180	C29F9.1	Protein C29F9.1	Caenorhabditis elegans	Cel.10778	C29F9.1			decrease	RNA interference decreased median lifespan by 35% in daf-2 mutants.	pro			RNA interference	
70	175179	C29F9.2	Protein C29F9.2	Caenorhabditis elegans	Cel.19443	C29F9.2			decrease	RNA interference decreased median lifespan by 12% in wild type animals and 36% in daf-2 mutants.	pro		12	RNA interference	
75	183168	C33F10.12	Protein C33F10.12	Caenorhabditis elegans	Cel.23628	C33F10.12			increase	RNA interference extends lifespan.	anti			RNA interference	
76	3565046	C33H5.18	Protein C33H5.18	Caenorhabditis elegans	Cel.17593	C33H5.18			decrease	RNA interference decreased median lifespan by 44% in wild type animals, 77% in a daf-2 background and 14% in daf-2/daf-16 double mutants.	pro		44	RNA interference	
2028	172966	C34B2.6	Lon protease homolog, mitochondrial	Caenorhabditis elegans	5902				increase	RNA interference of C34B2.6 results in an increased lifespan.	anti		10.8	RNA interference	
77	183228	C35A11.3	Protein C35A11.3	Caenorhabditis elegans	Cel.26004	C35A11.3			increase	RNA interference extends lifespan.	anti			RNA interference	
78	178230	C36H8.1	Protein C36H8.1	Caenorhabditis elegans	Cel.13373	C36H8.1			increase	RNA interference extends lifespan.	anti			RNA interference	
83	183399	C42C1.3	Protein C42C1.3	Caenorhabditis elegans	Cel.13356	C42C1.3			increase	RNA interference increased mean lifespan by 60%.	anti		60	RNA interference	
84	177367	C46G7.2	Protein C46G7.2	Caenorhabditis elegans	Cel.13307	C46G7.2			increase	RNA interference increased mean lifespan by 44%.	anti		44	RNA interference	
1777	174789	C47D12.2	Protein C47D12.2	Caenorhabditis elegans					increase	Post-developmental RNAi of C47D12.2 extends lifespan of wild type worms.	anti	8.7	5.5	Post-developmental RNA interference	
85	177858	C47E12.2	Protein C47E12.2	Caenorhabditis elegans	Cel.13303	C47E12.2			increase	RNA interference increased mean lifespan by 36%.	anti		36	RNA interference	
86	172321	C48E7.2	Protein C48E7.2	Caenorhabditis elegans	Cel.19090	C48E7.2			increase	RNA interference in adulthood resulted in a 26% increase in mean lifespan.	anti		26	RNA interference	
87	175898	C56G2.1	Protein C56G2.1	Caenorhabditis elegans	Cel.8003	C56G2.1			increase	RNA interference in adulthood resulted in a 20% increase in mean lifespan.	anti		20	RNA interference	
