NCBI gene (formerly Entrezgene) ID	UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID
179412	G5ECN9	
179412	G5ECN9	
176991	O76360	
176991	O76360	
176991	O76360	
176991	O76360	
176991	O76360	
176991	O76360	
176991	O76360	
176991	O76360	
176991	O76360	
176991	O76360	
176991	O76360	
176991	O76360	
176991		U4PRL6
176991		U4PRL6
176991		U4PRL6
176991		U4PEQ9
176991		U4PEQ9
178537	G5EBH0	
178537	G5EBH0	
178537	G5EBH0	
178537		A0A0K3AXH8
178537		A0A0K3AS71
178537		A0A0K3AUL3
178537		A0A0K3ARQ7
178537		A0A0K3AV83
178537		A0A0K3AXI3
178537		A0A0K3AS74
178537		A0A0K3AUL7
178537		A0A0K3ARR2
178537		A0A0K3AV92
178537		A0A0K3AXJ0
178537		A0A0K3AS80
178537		A0A0K3AUM3
178537		A0A0K3ARR7
178537		A0A0K3AV97
178537		A0A0K3AXJ6
178537		A0A0K3AS85
178537		A0A0K3AUN1
178537		A0A0K3ARS4
178537		A0A0K3AVA5
178537		A0A0K3AXK2
178537		A0A0K3AS90
179461	G5EBV0	
179461	G5EBV0	
179461	G5EBV0	
179461	G5EBV0	
179461	G5EBV0	
179461	G5EBV0	
179461	G5EBV0	
179461	G5EBV0	
179707	P49809	
179707		F5GUC9
179707		F5GUD0
176992		G5EGF4
176992		G5EGF4
176992		U4PMB4
174121	Q09228	
174121	Q09228	
174121	Q09228	
174121	Q09228	
174121	Q09228	
174121		A0A0K3ATV0
174121		A0A0K3AQW8
174121		A0A0K3AUG2
174121		A0A0K3AWS4
174121		A0A0K3ARG1
174121		A0A0K3ATV3
174121		A0A0K3AQX3
174121		A0A0K3AUG7
174121		A0A0K3AUG7
174121		A0A0K3AWS8
174121		A0A0K3ARG6
174121		A0A0K3ATV6
174121		A0A0K3AQX8
174121		A0A0K3AUH3
174121		A0A0K3AWT1
171751		G5EGU1
171751		Q8T3G5
171751		X5LQ30
176094	P34339	
175138	Q9XWI6	
175138	Q9XWI6	
175138	Q9XWI6	
175138	Q9XWI6	
174478	Q18967	
179779	Q9XUP3	
190775		Q9BKS1
177787		G5EEE5
177787		K8ES54
177787		K8ES54
177787		K8ES54
177787		K8ES54
178532		Q9XVQ9
177320	Q20300	
177320	Q20300	
176993		G5EGN3
176993		G5EGN3
174314	G5EG38	
176868	O44406	
176868	O44406	
176868		U4PC85
176868		U4PCK7
172174		G5EES2
172174		G5EBK3
173325	Q7YTU4	
173325	Q7YTU4	
173325	Q7YTU4	
173325	Q7YTU4	
173325	Q7YTU4	
173325		B7FAS8
173325		B7FAS8
173325		B7FAS8
173325		V6CJW5
173325		V6CLA8
178415	O62431	
178415		D3YT95
178415		D3YT95
178415		D3YT96
178415		I2HAI0
173069		G5EBR7
173069		G5EBR7
173069		Q564V5
177819	G5EG11	
177819	G5EG11	
177819	G5EG11	
177819	G5EG11	
177819	G5EG11	
177819	G5EG11	
179100	G5EGH6	
266822		G5EBJ7
266822		G5EBJ7
177340		Q86MF0
177340		Q86ME9
177340		Q86ME9
177340		V6CIY1
177340		V6CK27
177340		V6CLX2
177340		V6CLW4
177340		V6CLW4
177340		V6CLH2
177340		V6CLS2
177340		V6CJE7
177340		V6CKK8
177340		V6CKK8
177340		V6CLX8
177340		V6CLX8
177340		V6CLF5
177340		V6CLC1
177340		V6CIY6
177958		G5EBJ9
181348	Q20655	
181348	Q20655	
181348	Q20655	
181348		Q95ZT1
181348		W6EKY2
266859	Q09373	
191644	N1NVB7	
191644	N1NVB7	
178237	G5EFQ0	
178402		G5EBR1
178402		G5EBR1
178402		Q2V4S2
178402		E9P8A8
178402		E9P8A8
175195		H2L0F5
175195		H2L0F5
175195		H2L0F6
175195		H2L0F6
175195		H2L0F6
175195		H2L0F7
175195		H2L0F7
175195		H2L0F7
175195		Q8ITW3
175195		Q8ITW3
175195		Q8ITW3
175195		H2L0F8
175195		H2L0F8
175195		Q65CL5
175195		Q65CL5
177654		H2KYN3
177654		H2KYN3
176286	P13508	
172505	P51875	
179546	P28051	
179546		B2D6M7
179219	P22454	
179319	P28052	
180527	Q20701	
181442	Q93743	
179731	Q20907	
179075	Q9BIG4	
173759	O76584	
173759	O76584	
172645	P91907	
181424	P54406	
181424	P54406	
181424	P54406	
3565504	P17329	
3565504	P17329	
180601	P17330	
180601	P17330	
176843		O44504
171687		Q7KPV0
171687		Q7KPV0
171687		V6CL61
187537	Q09596	
187537		G3MTY0
187537		G3MTX8
178725	Q9N4X8	
178725		A0A0M7RDX7
177560		G5EC23
174333	Q18212	
178201	O18017	
179341	P62784	
181057	Q10453	
176052	P41848	
176052	P41848	
180695	Q8MQ70	
180695	Q8MQ70	
180695	Q8MQ70	
180695	Q8MQ70	
176506		G5EDE2
176506		G5EFS9
176506		Q9U3C6
177101	Q22037	
177101	Q22037	
177101	Q22037	
177101	Q22037	
177101	Q22037	
177101	Q22037	
177101	Q22037	
177101	Q22037	
177101	Q22037	
177101	Q22037	
173078		G5EFT5
174203	P20163	
174203	P20163	
174203		V6CL98
178873	P11141	
177778		G5EE36
179286	P34696	
179287	P02513	
179288	P02513	
172099		O01820
171939		G5EFI9
177660	G5ED45	
177660	G5ED45	
177660		X5LPS5
177660		X5LX61
181699	Q21065	
187585	Q86DC6	
187585	Q86DC6	
176755		D1MN85
176755		D1MN85
176755	O45551	
176755	O45551	
180393	Q21693	
176373	P34563	
176373		G1K0V8
176373		G1K0V8
176373		G1K0V9
176373		G1K0V9
176373		G1K0V9
174322		Q21531
174322		Q7JMF0
174322		B5BM23
174322		B5BM23
174322		B5BM23
174322		B5BM24
181182	Q09501	
181182	Q09501	
177936		G5EFY8
191688	Q23430	
191688		H9G2S9
172600		G5ECC6
172600		G5ECC6
191689	Q21507	
178101	Q23593	
178101	Q23593	
178101	Q23593	
191694		Q23594
172488	O62136	
172488	O62136	
172488	O62136	
172488	O62136	
174305	Q09499	
174305		E5QCG0
177609		O44512
177546	Q9Y0A1	
177546	Q9Y0A1	
177546	Q9Y0A1	
177546	Q9Y0A1	
177546	Q9Y0A1	
177546	Q9Y0A1	
177460	Q8WQG9	
177460	Q8WQG9	
177460	Q8WQG9	
174161	Q22100	
174161	Q22100	
179161	Q23092	
179161	Q23092	
191701	O02323	
188761		O02324
181292		G5EEL0
181292		G5EEL0
181292		Q8I4H8
181292		Q9U3E2
175058	Q9XTB5	
174462	P24348	
174462		B5BM28
174462		B5BM27
174462		A0A0K3AX35
172167	Q95Q95	
172167	Q95Q95	
178970	G5EBZ4	
172088	P92199	
172153		Q9N584
178120	Q27394	
178120	Q27394	
178120	Q27394	
178120	Q27394	
178120	Q27394	
178120	Q27394	
175934		O01737
174050	Q09490	
178001	Q03345	
178001	Q03345	
178001	Q03345	
178001	Q03345	
178001	Q03345	
178001	Q03345	
178001	Q03345	
178001	Q03345	
178001	Q03345	
178001		A0A061AEC4
178001		A0A061AD43
178001		A0A061AD43
174267	P45970	
174267	P45970	
172893	P20154	
181337	Q21446	
181337	Q21446	
174058	Q09990	
174058	Q09990	
174058		A0A0K3AUM4
174058		A0A0K3AUM4
174058		A0A0K3AWY7
174058		A0A0K3ARM6
172626	P92186	
172626	P92186	
178788		O61907
178788		Q76NP4
178788		Q76NP4
178788		Q86S28
178788		A0A168H9W7
178788		A0A168H9W7
191704	V6CIV8	
191704	V6CIV8	
172687	Q21443	
172687	Q21443	
172037		Q9N4L8
179477		Q22641
179477		D5MCR9
172499		Q23511
172499		B3WFV4
177988		Q23543
178087		Q20968
173944		Q09975
173944		Q09975
184622		O61518
173073	P49029	
179794		Q18420
179794		G5ED24
3565400	G5EGQ3	
3565400	G5EGQ3	
3565400	G5EGQ3	
3565400	G5EGQ3	
3565400		A0A0K3AQV8
3565400		A0A0K3AUE7
175936	O02640	
180942		G5EG44
171872	Q10664	
175634	Q18508	
178074	Q21502	
181362	G5EBL2	
175096	O17514	
260040	P41956	
260040	P41956	
260040		A0A0K3AU58
185682	Q20347	
176050	P41846	
176050		Q8I7I9
171879		Q9N3C7
175545	P39745	
175545	P39745	
174657		G5EC55
174657		G5EDY4
174657		Q09EF4
174657		G5ECZ8
174657		G5EGP5
174657		G5EC95
174657		G5ECF9
174657		G1K0W4
174657		G1K0W3
174657		G1K0W2
181587		G5EE72
178089	Q20970	
178089		D3YT55
178089		D3YT56
179899	P17512	
175490	Q22712	
175490	Q22712	
175490	Q22712	
175184		Q9TZ70
187898	P32739	
187898		H9G2P8
176429	Q21339	
176429	Q21339	
176429	Q21339	
180407	Q20942	
175582		G5EF61
175582		Q86MD1
174225		Q09631
174225		Q5H9N2
174225		Q5H9N3
177551	Q9XYB7	
177551	Q9XYB7	
181102	O02151	
181102	O02151	
181102	O02151	
172460	P41828	
172460	P41828	
172460	P41828	
172460	P41828	
172460	P41828	
172460	P41828	
181432	Q19345	
181432	Q19345	
181432	Q19345	
181432	Q19345	
172839	O45666	
172839	O45666	
172839	O45666	
172839	O45666	
172839	O45666	
172839	O45666	
172839	O45666	
172839	O45666	
172839	O45666	
172839		E5QCI8
191726	O02316	
187340		G4SCE4
174242	Q8T5S1	
184647	Q19569	
184647	Q19569	
180884		Q18031
179095		G5EF32
179095		Q86S16
172611		Q22078
172611		Q22078
174823		Q21436
174823		Q21436
180752		Q18534
172442	Q19722	
176614		G5EFX8
176614		Q0PDJ7
176614		Q0PDJ7
181174	Q17778	
174696		Q17880
188314		O61220
188314		A0A0K3AS26
172917	Q93560	
172917	Q93560	
179098		G5EEC7
179098		Q9BMH9
179098		Q9BMI0
179806	Q18434	
181403	P41933	
191737	Q17833	
180919	Q21219	
181715	Q22830	
177141	P46873	
177141	P46873	
180585		G5ED37
179631		G5EDF6
172920		Q9U302
172920		Q9U302
172920		Q9U302
172920		Q9U302
172920		Q9U302
172920		Q7K798
172920		Q7K798
172920		Q7K797
172920		Q7K797
172920		Q7K797
172920		Q7K797
181473		Q19579
181473		Q19579
181473		Q19579
181473		Q19579
181473		Q19581
178113	P41932	
178113	P41932	
178113	P41932	
178113		N1NV25
178113		N1NV25
175504	Q27874	
175175	Q9TZC4	
176848	O16785	
172127		G5EF37
172127		G5EF37
172127		G5EF37
172127		G5EF37
172127		G5EF37
172127		G5EF37
172127		G5EF37
172127		G5EF37
172127		G5EF37
173334	Q9XUV0	
178981	Q27873	
178981		G8JY24
180475	Q9Y1J3	
180475	Q9Y1J3	
173025		G5ECQ5
180808	Q20025	
180808	Q20025	
177461	Q9TZQ3	
177461	Q9TZQ3	
177461		Q304E5
180357	Q17381	
180357	Q17381	
180357	Q17381	
171768	Q9BKU4	
174034	P50093	
174034	P50093	
266823	Q9N4H4	
266823		A0A0K3AUD3
266823		A0A0K3AWQ2
266823		A0A0K3ARD5
172327		H2KYP7
172327		H2KYP8
172327		Q86NC9
172327		Q86NC9
176784		G5EDS2
176784		K8F7Z0
176784		K8ESK9
176784		K8FE00
179224		G5EF15
174392		Q18426
174392		Q7JM90
173362		G5EE13
179616	O17732	
179616	O17732	
179616		H2L2E4
172755		P91857
174834		Q23146
174834		Q23146
266836	Q94148	
266836	Q94148	
175788	P53806	
175522		Q19046
178295	Q9XUB3	
178295	Q9XUB3	
178295	Q9XUB3	
180721	Q20496	
179427		O62414
179427		A5PEW5
175532	Q09463	
175532		A0A131MD51
175532		A0A131MBI1
175532		A0A131MBQ1
175525	P42170	
172943	Q93572	
177491		Q18566
171853	Q9N4I4	
171853	Q9N4I4	
171853		Q95Y46
171853		Q95Y46
171853		Q95Y46
171853		Q95Y46
171853		Q95Y46
171853		Q95Y46
171853		Q95Y46
175501	P50880	
175501	P50880	
175501		G5ECE5
175501		G5EEC0
175501		G5EEC0
172074	O02056	
171602	O01802	
171602	O01802	
171602	O01802	
177203	Q966C6	
177203	Q966C6	
176071	Q95Y90	
174311	Q09533	
174311	Q09533	
171692	Q9BL19	
172201	O02639	
172201	O02639	
172201	O02639	
172201	O02639	
175796	P48158	
175796	P48158	
175796	P48158	
172921		Q9XWS4
172921		I2HAJ2
172921		I2HAJ2
173235	Q9U332	
173235	Q9U332	
173235	Q9U332	
173235	Q9U332	
173235	Q9U332	
173235	Q9U332	
175972	Q20938	
175972	Q20938	
173744	O76577	
175628	P46769	
175628	P46769	
175879	P48152	
178012	P49041	
173260	Q9NEN6	
173260		I2HAF8
173260		I2HAF9
173260		I2HAF9
177503	P48156	
177503		V6CM07
177503		V6CM07
177503		V6CM07
177503		V6CM07
177503		V6CM07
177503		V6CM07
172061		O01869
178083		Q20206
175786	P49196	
175786	P49196	
175786	P49196	
175786	P49196	
176006	P48150	
176006	P48150	
172693	Q9XVP0	
179998	Q22054	
179998	Q22054	
173309		Q8WQA8
173309		Q8WQA8
175338		O17218
175338		O17218
175338		O17218
175338		O17218
175338		A8WIR1
178188	Q19877	
178188	Q19877	
173342	O45499	
173342	O45499	
173342	O45499	
179641	Q18787	
179641	Q18787	
175659	Q19825	
175659	Q19825	
175659		Q65ZK0
175659		Q65ZK0
175659		A5HU89
173013		O62185
173013		O62185
176512		G5EEK8
176512		Q9XU13
176512		Q9XU13
176512		Q9XU13
176512		A8WI68
179054	O76411	
186053		Q20608
175599	G5ECQ3	
175599	G5ECQ3	
175599	G5ECQ3	
181055	P29355	
181716		O17470
181716		G5ECV2
175322		G5EGH0
175322		G5EGH0
175662	Q18221	
175662	Q18221	
175662	Q18221	
181697	Q2PJ68	
181697	Q2PJ68	
176805	G5EEV9	
176471	Q20363	
177924	Q21921	
177924	Q21921	
177924		D3YT50
177924		D3YT50
177924		D3YT50
177343	P34707	
177343	P34707	
177343	P34707	
177343	P34707	
177343	P34707	
177343		V6CLA3
177343		V6CLA3
172775	G5ECU1	
172775	G5ECU1	
172775	G5ECU1	
172775	G5ECU1	
172773		G5EDD8
180148		Q9XU27
172418	O01510	
172418	O01510	
172783		G5EFQ8
172783		G5EC16
174141	P34697	
174141	P34697	
174141	P34697	
172137		Q9N5A0
177929	Q10579	
171915	Q9N3T5	
176857	Q9Y194	
171681		Q8WSN3
171681		Q8WSN3
180722	Q17768	
180722	Q17768	
175172	Q9TZ93	
188048		O18021
188136		Q9XUR5
189965		Q9N4V9
189965		A0A0K3ASH0
189964		A0A0K3AT19
189964		A0A0K3AVB7
179257		H2KYB2
179257		H2KYB2
179257		H2KYB2
179257		Q8MNV9
179257		Q8MNV9
179257		Q8MNV9
179257		H2KYB3
179257		H2KYB3
179257		H2KYB3
179257		I7K4K0
179257		I7K4K0
179257		I7K4K0
181255	Q21049	
174726		Q22743
180853	Q20595	
180853	Q20595	
266858		Q8IG31
266858		Q8IG31
266858		H2KZL7
266858		A0A0K3AUJ9
177736		G5EDM4
177736		G5EC64
177736		G5EE55
177736		G5EFP7
177736		Q27GP2
177736		Q27GP2
177736		Q27GP2
177736		Q27GP2
177736		I2HAI6
177736		I2HAG6
177736		X5LVA5
177736		X5LQ26
177736		X5MBG4
177736		X5MBG4
177736		X5MBG4
176773		O45865
176773		O45865
176773		O45865
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
176773		G3MU69
180049	O17850	
180049	O17850	
180049	O17850	
188912		Q22800
188912		Q22800
175474	Q17963	
175474	Q17963	
189370	Q9XWE9	
174436	D0VWM8	
174436	D0VWM8	
175913	Q11182	
175693	Q20779	
175693	Q20779	
175693	Q20779	
175693	Q20779	
175693	Q20779	
183860		D7SFK1
176297	Q03611	
177943	Q0G819	
177943	Q0G819	
177943	Q0G819	
174680		G5EDD4
176568		O18154
175519	P52275	
175519	P52275	
175519	P52275	
175519	P52275	
176054	P32085	
172676		G5EC52
172676		B2D6P4
172209		Q49HI3
172209		A8WFN4
172209		Q14DX2
172209		G5EE26
172209		A0A0K3AWL6
172209		A0A0K3AR90
172209		A0A0K3ATN9
266847	O17966	
266847	O17966	
266847	O17966	
266847	O17966	
176825	P34722	
176825	P34722	
176825	P34722	
174790	P52709	
174790		Q86D21
174790		Q86D21
174790		Q86D21
173856		Q23528
192059		Q9U2K6
180313		Q9U2Z0
180313		Q9U2Y9
180313		B5QSI6
180313		A0A168HA93
181357	G5EE86	
181357	G5EE86	
174312	Q09306	
177073	Q95XX0	
179039		Q9UAV3
259626		Q965V9
174289	Q09444	
174289	Q09444	
3565860	Q19584	
3565860	Q19584	
3565860		Q9U3I6
175704	Q09353	
180990	Q22366	
180990	Q22366	
172497	P27715	
172497		
172497	P27715	
172497	P27715	
172497	P27715	
172497		G5EDN9
172497		A0A1C3NSJ3
172497		A0A1C3NSI0
172497		A0A1C3NSN5
172497		A0A1C3NSH2
172497		A0A1C3NSL4
178284	G5ECL2	
178284	G5ECL2	
178284	G5ECL2	
178284	G5ECL2	
178284	G5ECL2	
178233	Q23658	
178233	Q23658	
178233	Q23658	
178233	Q23658	
178233	Q23658	
178233	Q23658	
178233		G3MU01
178233		H9G2V3
178233		H9G2V2
178233		A0A061AKP8
178233		A0A061ACM4
178233		A0A061ADT8
178233		A0A061ACJ2
178233		A0A061AJ06
178233		A0A061AKQ5
178233		A0A061ACM9
178233		A0A061ADU4
178233		A0A061ACJ8
178233		A0A061AJ13
176257	P30628	
176257	P30628	
176257	P30628	
176257	P30628	
176257	P30628	
176257	P30628	
176155	P34374	
176155	P34374	
176155		G4S4A1
175126	Q06561	
175126	Q06561	
175126	Q06561	
175126		G5EEI5
175126	Q06561	
175126	Q06561	
175126		G1K109
175126		H9G353
175126		H9G354
175126		H9G351
175126		H9G352
175126		H9G348
175126		H9G349
175126		H9G350
175126		U4PS79
175126		A0A1T5HUZ1
178640	Q07749	
178845	Q9N5D6	
178845	Q9N5D6	
178845	Q9N5D6	
178845	Q9N5D6	
178845	Q9N5D6	
178845	Q9N5D6	
178845	Q9N5D6	
178845	Q9N5D6	
178845	Q9N5D6	
178845		A0A0K3ASC5
179033	Q23064	
179033		Q0PDL1
179033		Q0PDL1
179033		G8JYF1
173794	O61460	
173794	O61460	
174743		G5EGP4
174743		G5EGP4
181321	Q19213	
181034	P55155	
180781	P05690	
180781	P05690	
180781		G8JY38
180781		G8JY38
180630	P06125	
176635		Q9U229
176635		K8ESD4
177237		H2KZL6
177237		Q8MPU1
177237		Q8MPU1
177237		Q8MPU1
176237	P34447	
176237	P34447	
176237	P34449	
176237		G8JYB8
175398		G5ECM6
175398		G5ECM6
171647		Q9N2Z7
171647		Q95XU3
171647		V6CLY4
171647		V6CLY4
171647		V6CJJ8
171647		V6CJJ8
175817	Q21955	
175817	Q21955	
175817	Q21955	
175817	Q21955	
176679		G5EC14
176679		G5EC14
172896	O45797	
179432		Q17420
180344	Q9XTI0	
175559	P46551	
175559	P46551	
175559	P46551	
181681		Q17498
174734		Q17512
174734		Q17512
174734		Q17512
176695	O17554	
3565393		Q17559
174472		Q17577
174624	P54811	
179541		Q17763
179541		Q17763
176368	P34313	
176368	P34313	
178331	O62053	
178331	O62053	
178331	O62053	
181537		Q17911
182565	O01931	
174637		Q17956
179725		Q17973
179725		Q52GY7
179725		E3W740
182749		O45258
174428		Q18095
174428		Q18095
174427		G5EDD5
174427		A0A2K5ATK2
174427		A0A2K5ATL4
174427		A0A2K5ATK0
174427		A0A2K5ATL1
177708	Q18245	
179503		Q18291
179503		A7UQ09
179503		E1B6S5
179503		E1B6S6
179503		E1B6S7
179503		E9P874
179503		E9P875
179503		E9P876
179503		A8DZ40
179503		H2FLH5
179503		I2HAJ6
179503		I2HAJ7
179503		S6EZT1
178118	Q18297	
178118		N1NV19
183126		H9G327
183126		H9G326
183129		Q9XUH6
183129		Q9XUH6
183134		Q9U3N6
178245		Q9XUH3
177786	Q18359	
178230		Q18503
183345		Q18540
176312	Q03575	
174789		Q18668
177858		Q18683
177858		Q18683
181370	O17680	
181370	O17680	
181370	O17680	
181371		O17679
179958		O17694
179958		O17694
179958		O17694
183813		Q18851
183917		Q18946
179497		Q18947
179499		Q18942
172510		P90787
172510		P90787
172513	P90789	
172518	P90794	
172518	P90794	
172518	P90794	
172518	P90794	
172518		C6KRL4
172518		S6FN32
172518		S6FN32
172518		S6FWQ6
172518		S6FWQ6
174387		Q18994
180175		G5EBW2
180175		G5EBW2
179721	Q93425	
178020	P40614	
178020	P40614	
178020	P40614	
178020		G5ECU3
178020		G5ECU3
178020		G5ECU3
177906		O17759
177906		O17759
176285	P34384	
181462	O17624	
174782	G5EGK6	
174782	G5EGK6	
174782	G5EGK6	
174782	G5EGK6	
174782	G5EGK6	
174782	G5EGK6	
174782	G5EGK6	
174782	G5EGK6	
174782	G5EGK6	
184216		Q19231
174313	Q09535	
179331		G5EFF9
179331		G5EG28
172478		Q19422
172478		Q5FC59
172478		Q5FC59
172752		Q27493
184523		Q19481
173041		Q9XVQ2
184528		O62174
179520		Q19519
179520		Q19519
178181		Q19583
178181		Q9U3I7
178181		D3YT38
178181		H2L2A8
184720		Q93539
184770		Q19685
180079		O45391
180079		O45391
180079		K8ESE2
179945	Q19749	
179945	Q19749	
184916		Q19771
184916		Q19771
184916		G3MU05
184916		G3MU05
172939		Q93576
172939		Q93576
172939		Q93576
172939		Q93576
184953	Q93594	
184953	Q93594	
184953	Q93594	
184953	Q93594	
184953	Q93594	
172525		Q93592
259393		P90847
3565338		O18687
178190		Q19878
172778		Q93641
172782		G5ECC7
185238		O62221
185238		B3WFX7
179592	Q20010	
179592	Q20010	
179592	Q20010	
179592	Q20010	
172692		P90860
174702		H2L2A2
174702		H2L2A2
174702		H2L296
174702		H2L296
174702		H2L2A5
174702		H2L2A5
174702		H2L299
174702		H2L299
174702		H2L2A1
174702		H2L2A1
174702		H2L2A4
174702		H2L2A4
174702		H2L2A3
174702		H2L2A3
174702		H2L2A6
174702		H2L2A6
174702		H2L2A0
174702		H2L2A0
174702		H2L298
174702		H2L298
176402		Q7JMS5
176402		Q7JMS5
176402		Q7JMS5
176402		Q7JMS5
185603		O45507
181574		Q93703
181214		Q09393
181214		Q09393
185704		O17869
185704		O17869
172655	Q93714	
172655	Q93714	
180080		O45518
176769	O62250	
174992		O45525
174992		O45525
174992		O45525
174994		O02268
185954		Q9XU29
177752		P90879
186056		Q20615
179849		Q20720
179849		Q20720
179849		Q20720
174590	Q20748	
174590	Q20748	
176327	P34443	
178381		O17892
178383		O17893
178383		O17893
3565591		Q7JKF1
3565786		Q93795
3565786		Q93795
3565786		Q93795
181492		Q9XUY2
181492		Q9XUY2
178247		Q9XUE0
178247		D5MCV0
177772		Q20885
174934		O62277
